Frequency (GHz)	DB(|S(2,1)|) : LNA_FF_2V_Bias
4.9875	7.04323
5.00125	7.09066
5.015	7.0035
5.02875	6.96101
5.0425	7.11186
5.05625	6.96816
5.07	6.94759
5.08375	6.93106
5.0975	6.92749
5.11125	6.91088
5.125	6.91639
5.13875	6.9486
5.1525	6.94791
5.16625	6.91345
5.18	6.88702
5.19375	6.71889
5.2075	6.78227
5.22125	6.75551
5.235	6.78084
5.24875	6.79796
5.2625	6.64665
5.27625	6.69182
5.29	6.64129
5.30375	6.6115
5.3175	6.53164
5.33125	6.57892
5.345	6.53813
5.35875	6.53981
5.3725	6.44497
5.38625	6.48475
5.4	6.38736
5.41375	6.38126
5.4275	6.35849
5.44125	6.35959
5.455	6.2932
5.46875	6.27775
5.4825	6.13583
5.49625	6.11742
5.51	6.13778
5.52375	6.1505
5.5375	6.22548
5.55125	6.07101
5.565	5.93691
5.57875	5.84476
5.5925	5.82052
5.60625	5.84247
5.62	5.77711
5.63375	5.7875
5.6475	5.77116
5.66125	5.6153
5.675	5.5058
5.68875	5.50211
5.7025	5.61491
5.71625	5.42742
5.73	5.44931
5.74375	5.41285
5.7575	5.35677
5.77125	5.21067
5.785	5.21901
5.79875	5.11874
5.8125	5.11818
5.82625	5.16441
5.84	5.07108
5.85375	5.02715
5.8675	4.87398
5.88125	5.00527
5.895	4.79457
5.90875	4.69523
5.9225	4.76822
5.93625	4.64453
5.95	4.49493
5.96375	4.43181
5.9775	4.38583
5.99125	4.41041
6.005	4.33862
6.01875	4.27193
6.0325	4.17028
6.04625	4.14208
6.06	4.02386
6.07375	3.8496
6.0875	3.93722
6.10125	3.73948
6.115	3.73722
6.12875	3.70393
6.1425	3.6201
6.15625	3.52022
6.17	3.55225
6.18375	3.42032
6.1975	3.33686
6.21125	3.35008
6.225	3.19385
6.23875	3.07716
6.2525	2.97748
6.26625	2.89592
6.28	2.84217
6.29375	2.80581
6.3075	2.6369
6.32125	2.61947
6.335	2.47149
6.34875	2.42669
6.3625	2.38794
6.37625	2.24569
6.39	2.091
6.40375	2.09171
6.4175	2.08472
6.43125	1.78509
6.445	1.6277
6.45875	1.63673
6.4725	1.5436
6.48625	1.41011
6.5	1.34965
6.51375	1.1423
6.5275	1.06469
6.54125	0.851612
6.555	0.858355
6.56875	0.743862
6.5825	0.518126
6.59625	0.466875
6.61	0.433995
6.62375	0.290871
6.6375	0.377606
6.65125	0.201295
6.665	0.191584
6.67875	0.209444
6.6925	0.047466
6.70625	0.128878
6.72	0.0972957
6.73375	0.0959879
6.7475	0.0551059
6.76125	-0.0494283
6.775	-0.0185675
6.78875	-0.174482
6.8025	-0.240579
6.81625	-0.2951
6.83	-0.25737
6.84375	-0.446179
6.8575	-0.559252
6.87125	-0.475639
6.885	-0.761354
6.89875	-0.820632
6.9125	-0.963812
6.92625	-0.94039
6.94	-1.0156
6.95375	-1.08724
6.9675	-1.23839
6.98125	-1.17728
6.995	-1.63275
7.00875	-1.45522
7.0225	-1.59372
7.03625	-1.79016
7.05	-1.83759
7.06375	-2.07694
7.0775	-2.13061
7.09125	-2.19653
7.105	-2.26638
7.11875	-2.4633
7.1325	-2.61199
7.14625	-2.54491
7.16	-2.90385
7.17375	-3.08065
7.1875	-2.95416
7.20125	-3.23656
7.215	-3.36744
7.22875	-3.42757
7.2425	-3.56323
7.25625	-3.62416
7.27	-3.97692
7.28375	-3.85493
7.2975	-4.12316
7.31125	-4.34516
7.325	-4.34301
7.33875	-4.4224
7.3525	-4.48925
7.36625	-4.92633
7.38	-4.8179
7.39375	-4.99986
7.4075	-5.11793
7.42125	-5.27452
7.435	-5.48423
7.44875	-5.38711
7.4625	-5.8104
7.47625	-5.81246
7.49	-6.06131
7.50375	-6.07523
7.5175	-6.33521
7.53125	-6.39326
7.545	-6.70229
7.55875	-7.04549
7.5725	-7.033
7.58625	-7.13754
7.6	-7.30428
7.61375	-7.39214
7.6275	-7.64538
7.64125	-7.71749
7.655	-8.09175
7.66875	-8.14977
7.6825	-8.29462
7.69625	-8.47737
7.71	-8.57372
7.72375	-8.89444
7.7375	-9.16342
7.75125	-9.18705
7.765	-9.61757
7.77875	-9.5263
7.7925	-9.59683
7.80625	-9.81392
7.82	-10.0534
7.83375	-10.5411
7.8475	-10.7621
7.86125	-10.8726
7.875	-10.7819
7.88875	-10.9644
7.9025	-11.2989
7.91625	-11.5756
7.93	-11.6301
7.94375	-11.9081
7.9575	-12.1975
7.97125	-12.3331
7.985	-12.6945
7.99875	-13.1847
8.0125	-13.1948
8.02625	-13.2441
8.04	-13.8459
8.05375	-13.9238
8.0675	-14.0194
8.08125	-14.2129
8.095	-14.416
8.10875	-14.9774
8.1225	-15.0118
8.13625	-15.3725
8.15	-15.5004
8.16375	-16.1137
8.1775	-16.3458
8.19125	-16.4979
8.205	-16.5249
8.21875	-17.5309
8.2325	-17.2074
8.24625	-17.1477
8.26	-18.279
8.27375	-18.4477
8.2875	-18.1325
8.30125	-19.1101
8.315	-19.2894
8.32875	-19.1386
8.3425	-19.7954
8.35625	-20.5956
8.37	-20.7998
8.38375	-20.7805
8.3975	-22.0485
8.41125	-22.1303
8.425	-22.761
8.43875	-21.7057
8.4525	-22.5015
8.46625	-23.1001
8.48	-23.765
8.49375	-24.546
8.5075	-24.4544
8.52125	-25.8139
8.535	-25.3413
8.54875	-26.317
8.5625	-26.9936
8.57625	-28.1435
8.59	-27.435
8.60375	-27.9203
8.6175	-28.7644
8.63125	-29.3665
8.645	-30.3977
8.65875	-32.5754
8.6725	-33.5345
8.68625	-32.1647
8.7	-34.5622
8.71375	-36.0073
8.7275	-34.3021
8.74125	-36.1029
8.755	-36.1548
8.76875	-37.3404
8.7825	-37.1754
8.79625	-34.7209
8.81	-34.841
8.82375	-36.1061
8.8375	-33.3107
8.85125	-31.9501
8.865	-33.3133
8.87875	-35.5307
8.8925	-29.9586
8.90625	-31.8459
8.92	-29.331
8.93375	-28.5424
8.9475	-29.7899
8.96125	-29.6329
8.975	-28.7916
8.98875	-31.4642
9.0025	-28.4033
9.01625	-28.1492
9.03	-27.4812
9.04375	-27.7474
9.0575	-27.3489
9.07125	-28.7947
9.085	-28.6172
9.09875	-28.1435
9.1125	-27.908
9.12625	-27.4098
9.14	-29.099
9.15375	-27.025
9.1675	-27.1946
9.18125	-27.3029
9.195	-26.134
9.20875	-26.6855
9.2225	-26.9902
9.23625	-26.7945
9.25	-25.9332
9.26375	-26.6047
9.2775	-27.6835
9.29125	-25.6717
9.305	-27.7516
9.31875	-26.7232
9.3325	-27.3669
9.34625	-27.6213
9.36	-27.4859
9.37375	-26.1426
9.3875	-26.7958
9.40125	-26.3187
9.415	-25.7076
9.42875	-25.6425
9.4425	-25.9151
9.45625	-26.019
9.47	-25.3125
9.48375	-25.7628
9.4975	-25.3204
9.51125	-25.0534
9.525	-24.1238
9.53875	-23.9447
9.5525	-24.5582
9.56625	-23.995
9.58	-25.998
9.59375	-24.319
9.6075	-23.949
9.62125	-24.1664
9.635	-24.7002
9.64875	-26.1481
9.6625	-24.2828
9.67625	-24.6919
9.69	-24.8834
9.70375	-23.7067
9.7175	-23.5209
9.73125	-24.2215
9.745	-24.4155
9.75875	-24.0903
9.7725	-24.5437
9.78625	-24.5148
9.8	-24.4367
9.81375	-25.4216
9.8275	-23.7414
9.84125	-23.8831
9.855	-23.914
9.86875	-23.4027
9.8825	-24.2186
9.89625	-24.0488
9.91	-24.2264
9.92375	-24.172
9.9375	-23.9356
9.95125	-24.4861
9.965	-25.0007
9.97875	-23.5859
9.9925	-24.4256
10.0063	-22.7837
10.02	-23.6153
10.0338	-23.9462
10.0475	-24.4771
10.0612	-23.9466
10.075	-24.186
10.0887	-23.2533
10.1025	-24.2642
10.1163	-24.5558
10.13	-24.5153
10.1438	-24.3583
10.1575	-24.1935
10.1713	-23.2484
10.185	-24.6145
10.1988	-24.0209
10.2125	-23.2894
10.2263	-24.0332
10.24	-24.5863
10.2538	-23.8964
10.2675	-23.738
10.2813	-24.4714
10.295	-23.8209
10.3088	-23.7086
10.3225	-23.7005
10.3363	-23.4328
10.35	-24.5812
10.3638	-23.2307
10.3775	-23.1226
10.3912	-23.7399
10.405	-23.4382
10.4187	-23.8165
10.4325	-24.3323
10.4462	-23.0369
10.46	-25.072
10.4738	-22.935
10.4875	-23.6911
10.5013	-24.0423
10.515	-23.6058
10.5288	-24.25
10.5425	-22.8296
10.5563	-23.6949
10.57	-23.0781
10.5838	-24.2022
10.5975	-23.5873
10.6113	-24.3596
10.625	-23.4627
10.6388	-24.0673
10.6525	-22.7259
10.6663	-24.5278
10.68	-22.8113
10.6938	-24.6153
10.7075	-23.8617
10.7213	-24.2593
10.735	-23.0973
10.7487	-23.2987
10.7625	-22.602
10.7762	-23.5409
10.79	-23.8045
10.8038	-23.3629
10.8175	-23.6848
10.8313	-23.8928
10.845	-24.152
10.8588	-23.3461
10.8725	-24.5814
10.8863	-22.2759
10.9	-24.1788
10.9138	-22.9285
10.9275	-23.0855
10.9413	-23.2562
10.955	-24.1785
10.9688	-23.2937
10.9825	-23.4711
10.9963	-22.6597
11.01	-22.7526
11.0238	-22.9958
11.0375	-21.9828
11.0513	-23.0135
11.065	-23.5105
11.0787	-22.5486
11.0925	-21.866
11.1062	-22.4642
11.12	-22.8228
11.1337	-21.653
11.1475	-20.6342
11.1613	-21.3878
11.175	-21.6228
11.1888	-20.7159
11.2025	-20.4085
11.2163	-21.8121
11.23	-20.7631
11.2438	-20.7071
11.2575	-20.3013
11.2713	-20.832
11.285	-21.0802
11.2988	-21.9376
11.3125	-20.8273
11.3263	-21.1713
11.34	-22.6242
11.3538	-21.5329
11.3675	-22.701
11.3813	-22.6474
11.395	-22.9244
11.4088	-23.0957
11.4225	-23.3004
11.4362	-22.6839
11.45	-23.5557
11.4637	-22.976
11.4775	-25.1092
11.4913	-23.4679
11.505	-24.1905
11.5188	-23.8927
11.5325	-22.9874
11.5463	-22.4364
11.56	-23.7667
11.5738	-23.4566
11.5875	-22.8437
11.6013	-23.6016
11.615	-22.5108
11.6288	-22.9937
11.6425	-23.0381
11.6563	-22.4718
11.67	-22.8283
11.6838	-23.4025
11.6975	-22.5278
11.7113	-22.2768
11.725	-22.9756
11.7388	-22.7673
11.7525	-22.4153
11.7662	-21.1813
11.78	-22.8454
11.7937	-21.7354
11.8075	-22.4256
11.8212	-22.9343
11.835	-21.6607
11.8488	-23.0656
11.8625	-21.9156
11.8763	-21.9335
11.89	-22.5834
11.9038	-22.5542
11.9175	-22.2469
11.9313	-21.8067
11.945	-22.8605
11.9588	-23.4934
11.9725	-22.6511
11.9863	-22.3751
12	-23.5646
